TITLE	10% S-JS before DT
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/12
TIME	16:32:11
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.45232
MAXY	    17.81847
MINY	   -10.90321
XYDATA
Channel 1
	0	57
485	13.9971	12.9315
484	13.5041	12.807
483	12.9289	12.2295
482	12.1935	11.8229
481	12.0324	11.82
480	11.3707	11.4169
479	11.0454	11.0822
478	11.3094	11.1335
477	10.8564	11.0238
476	10.348	10.4997
475	10.0933	10.0397
474	9.48408	9.91355
473	9.40358	9.73761
472	9.00326	9.54221
471	8.41767	9.1362
470	8.02258	8.56674
469	7.66496	8.48542
468	7.23964	8.01086
467	6.90622	7.65061
466	6.67226	7.13703
465	6.21364	6.36467
464	5.87329	5.97934
463	6.24381	5.84252
462	5.75304	5.54843
461	5.10229	5.02797
460	4.89488	4.38101
459	4.53986	4.12408
458	4.34509	3.95933
457	3.99626	3.81432
456	3.5733	3.73773
455	2.90033	2.99037
454	2.68041	2.69764
453	2.61924	2.51617
452	2.43996	2.17084
451	2.46314	1.99168
450	2.31423	1.74724
449	2.37436	1.78833
448	2.46488	1.66892
447	2.33233	1.69292
446	2.0806	1.59019
445	1.87084	1.46407
444	1.54355	1.12336
443	1.63179	1.32121
442	1.51332	1.20818
441	1.41327	1.13181
440	1.23856	1.04714
439	0.963937	0.506993
438	1.01766	0.716026
437	1.23268	1.01141
436	1.06564	1.07382
435	0.991009	1.13423
434	1.16471	1.07227
433	1.22123	1.08352
432	0.965304	0.924084
431	1.01737	0.843044
430	0.825684	0.808661
429	0.449783	0.0834
428	0.183593	0.0489765
427	0.25132	-0.102287
426	-0.00409856	0.0450402
425	-0.573524	-0.36802
424	-0.819869	-0.416484
423	-1.16776	-0.680058
422	-1.50213	-0.561531
421	-1.41115	-0.780747
420	-0.994175	-0.553349
419	-0.900212	-0.286688
418	-1.07159	-0.365958
417	-0.950591	-0.173135
416	-0.814213	-0.0579764
415	-0.582383	-0.0235367
414	-0.369849	-0.0591292
413	-0.326882	0.171583
412	-0.626569	-0.148274
411	-0.976167	-0.46044
410	-0.746611	-0.539362
409	-0.82839	-0.708036
408	-0.783703	-0.725554
407	-1.04588	-1.22675
406	-1.18032	-1.0254
405	-1.39667	-1.28757
404	-1.46698	-1.32576
403	-1.16904	-0.989733
402	-1.24376	-1.23938
401	-1.31686	-1.34286
400	-1.24473	-1.57428
399	-1.01121	-1.29455
398	-0.96271	-1.34497
397	-0.865581	-1.17241
