TITLE	100%S-JS
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	11:56:23
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -2.63205
MAXY	    61.58582
MINY	   -46.12774
XYDATA
Channel 1
	0	0.983333
577	15.8733	16.9723
576	18.4188	19.6949
575	21.3281	22.6024
574	24.6915	25.5976
573	28.5139	28.6929
572	32.2193	32.5441
571	35.4716	35.7525
570	40.1104	40.0514
569	44.474	43.9313
568	48.4392	47.346
567	52.0055	50.2937
566	55.4527	53.1573
565	58.0363	55.488
564	60.1169	57.77
563	61.5858	59.2049
562	61.4225	59.4914
561	61.357	58.5564
560	60.1856	58.1553
559	58.9098	57.8102
558	57.2018	56.7461
557	54.2351	54.515
556	52.1131	52.1334
555	49.5943	49.4276
554	47.6715	46.7291
553	45.4479	44.8696
552	44.7248	44.3703
551	42.7855	42.0483
550	41.4748	40.1832
549	40.8355	39.281
548	40.2768	38.8133
547	39.9402	38.289
546	40.0515	38.5924
545	39.9915	38.6086
544	40.469	39.1094
543	40.6374	39.9533
542	41.4366	41.0161
541	43.1853	42.3443
540	44.5679	43.5507
539	45.6177	45.2233
538	46.7271	47.4354
537	48.8345	49.4585
536	50.4919	50.2979
535	52.2077	52.0202
534	53.4775	52.7587
533	54.0574	54.2334
532	54.581	54.6391
531	55.0662	55.5308
530	55.8852	55.5698
529	55.6053	55.6918
528	54.7607	55.568
527	53.6911	54.1023
526	52.6467	52.3678
525	50.5663	50.2006
524	48.3999	48.3798
523	46.4687	46.5392
522	44.1402	42.7227
521	40.828	39.3354
520	37.7457	36.7477
519	36.0286	34.7232
518	32.8052	31.2546
517	30.5656	28.4784
516	28.132	25.0396
515	26.0004	22.4254
514	24.0359	21.9746
513	22.3967	20.9725
512	20.5139	20.1315
511	18.1113	17.6883
510	17.1069	16.833
509	15.7369	15.1924
508	13.7157	13.9836
507	13.7684	13.4891
506	12.3045	11.2105
505	11.3091	9.44113
504	10.3244	6.44422
503	7.7636	5.8373
502	6.08085	4.31288
501	3.76854	3.14539
500	2.02296	2.01087
499	-0.841969	-0.385823
498	-2.79269	-2.0911
497	-4.37725	-3.96562
496	-6.61158	-4.75216
495	-8.45139	-7.45795
494	-9.87976	-8.67103
493	-10.537	-11.5688
492	-12.3962	-14.6601
491	-14.9912	-16.593
490	-18.657	-19.8717
489	-21.5766	-22.042
488	-24.2882	-25.6294
487	-27.6624	-27.3798
486	-29.7026	-29.9892
485	-32.2575	-31.3362
484	-34.0557	-33.1945
483	-35.9541	-34.521
482	-36.4425	-36.1348
481	-37.3971	-38.2014
480	-38.1638	-38.6264
479	-38.6998	-39.3463
478	-38.7364	-39.5338
477	-39.7097	-40.579
476	-40.621	-42.4026
475	-41.023	-42.817
474	-41.9866	-43.3034
473	-42.7076	-43.9881
472	-43.9257	-44.2611
471	-44.2834	-44.7281
470	-44.7531	-45.5685
469	-44.9936	-46.345
468	-45.2564	-46.1596
467	-45.9711	-46.2575
466	-46.1277	-46.1557
465	-45.7769	-46.1847
464	-45.1001	-45.6708
463	-44.6074	-45.8551
462	-44.3375	-45.5128
461	-44.0912	-44.4195
460	-43.1114	-43.4718
459	-41.8348	-42.3185
458	-41.0034	-41.8665
457	-40.0681	-41.0039
456	-39.0469	-40.1975
455	-38.1915	-39.2383
454	-37.6259	-38.4798
453	-36.6828	-37.5077
452	-35.5629	-36.5816
451	-34.6195	-35.612
450	-33.488	-34.5571
449	-32.1253	-33.4252
448	-31.2105	-32.3551
447	-29.8207	-31.1214
446	-28.716	-29.8944
445	-27.909	-28.6862
444	-26.8323	-27.536
443	-25.7383	-26.4815
442	-24.7426	-25.4764
441	-23.9855	-24.5686
440	-22.8316	-23.6256
439	-21.6934	-22.5244
438	-20.4398	-21.1289
437	-19.1477	-19.9221
436	-18.4544	-19.3694
435	-17.6156	-18.3252
434	-16.7872	-17.4246
433	-16.1119	-16.5165
432	-15.3756	-15.4782
431	-14.8206	-14.9281
430	-14.021	-13.9951
429	-13.4049	-13.4002
428	-12.3519	-12.5198
427	-11.2003	-11.4857
426	-10.6877	-10.769
425	-10.0543	-10.0306
424	-9.43505	-9.42748
423	-8.61195	-8.70802
422	-8.14768	-8.05403
421	-7.82997	-7.60251
420	-7.37714	-7.43295
419	-7.1305	-7.20822
418	-6.62646	-6.96147
417	-6.11271	-6.46064
416	-5.91087	-6.232
415	-5.99037	-5.9064
414	-5.62	-5.664
413	-5.24678	-5.23088
412	-5.07983	-4.78181
411	-4.6617	-4.4396
410	-4.34965	-4.06195
409	-4.41353	-3.97762
408	-3.86586	-3.8666
407	-3.5745	-3.55467
406	-3.16549	-3.48575
405	-3.19699	-3.41246
404	-2.75912	-2.9915
403	-2.52456	-2.87704
402	-2.60991	-2.67432
401	-2.27238	-2.31984
400	-2.21188	-2.13948
399	-1.94411	-1.92947
398	-1.63951	-1.65426
397	-1.44862	-1.7825
396	-1.13826	-1.50659
395	-1.2113	-1.45546
394	-1.25128	-1.37756
393	-0.832257	-1.11672
392	-0.764662	-0.932189
391	-1.03088	-0.964685
390	-1.08816	-1.02912
389	-1.30361	-0.959265
