TITLE	40% S-JS BEFORE
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2026/03/10
TIME	13:34:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     4.64612
MAXY	    40.59792
MINY	   -25.08105
XYDATA
Channel 1
	30	114
660	0.983271	1.12334
659	0.391688	0.557132
658	0.62593	1.18604
657	0.740887	1.23194
656	0.552677	0.811313
655	0.441024	0.368449
654	0.612205	0.211428
653	0.857894	0.210814
652	0.542707	0.178417
651	0.591749	-0.119046
650	1.03221	0.289256
649	1.42928	0.566036
648	1.73002	1.14628
647	1.90889	1.48947
646	1.76344	1.89985
645	1.80422	2.08722
644	1.55709	1.86564
643	1.77681	2.60176
642	1.5753	2.01792
641	1.46572	2.1775
640	0.778941	1.33048
639	0.718976	0.797621
638	0.590963	0.237822
637	0.438302	-0.168504
636	0.605109	-0.236172
635	0.343987	-0.655129
634	0.406438	-0.17766
633	0.0252763	-0.344394
632	-0.220574	-0.409488
631	-0.168777	0.118687
630	0.0590609	0.413588
629	0.298034	0.84476
628	0.0477623	1.05831
627	0.160675	1.26248
626	0.214038	0.855782
625	0.211215	0.655251
624	0.678417	0.461127
623	0.301543	-0.0947555
622	-0.55692	-1.14349
621	-0.468739	-1.61029
620	-0.605268	-1.68712
619	-0.50663	-1.6347
618	-1.03732	-2.05369
617	-1.30687	-1.66087
616	-1.69785	-1.48057
615	-1.2545	-1.08997
614	-0.927152	-0.893504
613	-1.05739	-0.721877
612	-0.938682	-0.599904
611	-0.940072	-1.37593
610	-1.13589	-1.35541
609	-0.319182	-0.499306
608	-0.26211	-0.869472
607	-0.218547	-1.15715
606	-0.7606	-0.975457
605	-0.846247	-0.583874
604	-1.0275	-0.483899
603	-0.771466	0.200573
602	-0.546097	-0.224197
601	-0.812568	-0.277691
600	-0.908025	-0.530588
599	-1.36623	-0.563562
598	-1.13391	-0.103651
597	-0.72971	-0.351619
596	-0.334708	-0.738567
595	-0.980583	-1.05509
594	-1.69713	-1.32261
593	-1.62766	-1.64484
592	-1.02805	-1.08198
591	-1.24818	-1.50866
590	-1.24614	-2.12019
589	-0.959073	-1.84217
588	0.0711969	-0.686153
587	0.134561	-0.0470736
586	1.48958	0.988291
585	1.90589	1.86458
584	1.88851	1.98507
583	3.30338	3.00725
582	4.12546	4.20321
581	6.2101	5.97947
580	7.1476	7.0718
579	9.49984	8.17331
578	11.0349	9.72556
577	12.4462	11.6896
576	15.241	14.2027
575	17.0956	16.478
574	19.7199	19.1292
573	22.0669	21.5908
572	24.4093	24.2984
571	26.9844	27.0945
570	29.2391	29.8102
569	32.6619	32.059
568	34.5596	33.9769
567	36.9216	36.4625
566	38.4169	37.7647
565	39.4406	39.122
564	40.5653	39.9471
563	40.5979	39.9471
562	40.346	39.456
561	40.1267	39.5758
560	40.1681	39.3094
559	39.1116	38.4318
558	38.186	37.3964
557	36.3815	35.7957
556	34.7041	33.6624
555	32.5621	32.101
554	31.2358	30.9994
553	30.1101	29.779
552	28.2335	28.2452
551	26.2865	26.5175
550	26.1139	25.2712
549	25.6534	24.71
548	25.401	24.5651
547	25.3229	24.0993
546	26.1306	24.1744
545	26.8196	24.4634
544	26.76	24.6166
543	28.0358	24.7607
542	28.0819	25.7599
541	28.8173	26.9421
540	29.8765	28.2545
539	30.6936	29.3209
538	32.2184	30.408
537	32.5495	31.3733
536	34.0609	33.0125
535	35.2032	34.1244
534	35.9608	34.9469
533	36.3854	35.5872
532	36.8436	35.1944
531	37.3229	35.3256
530	36.7603	35.4881
529	36.8158	34.2295
528	36.0347	33.8192
527	34.9694	32.8799
526	33.9722	32.5426
525	33.1205	31.6028
524	32.5489	30.6699
523	31.1359	29.2902
522	29.2851	27.1328
521	27.9353	25.7894
520	25.2648	23.9754
519	24.4986	22.9889
518	23.3348	20.6992
517	21.6839	18.0839
516	19.9059	17.3022
515	18.1937	16.674
514	17.0143	14.8324
513	15.0127	14.1323
512	14.035	13.422
511	13.0244	12.4616
510	11.7719	12.0776
509	10.7183	11.8736
508	9.42956	10.1693
507	8.22513	8.92191
506	7.41779	8.95308
505	7.34702	8.67315
504	7.21075	8.62403
503	6.34904	7.69881
502	5.4361	7.10201
501	4.67013	5.35803
500	3.40243	4.63425
499	2.55457	4.12883
498	2.03927	2.14668
497	0.697861	0.994989
496	-1.43443	-1.98606
495	-3.7252	-3.61835
494	-4.90805	-5.23188
493	-6.32475	-5.8489
492	-7.78447	-7.68547
491	-9.86212	-9.60667
490	-11.5003	-10.8119
489	-12.6534	-12.3595
488	-13.9454	-13.3384
487	-15.3412	-14.5012
486	-15.9691	-15.4609
485	-17.4282	-17.034
484	-18.4576	-18.2056
483	-19.0855	-18.6784
482	-20.625	-19.7555
481	-21.4767	-20.2315
480	-21.8995	-21.1051
479	-22.5449	-21.8565
478	-23.0818	-22.8157
477	-23.164	-22.9668
476	-23.3964	-23.2962
475	-23.4423	-23.9244
474	-23.5384	-24.2332
473	-23.3407	-24.0729
472	-23.7294	-24.1742
471	-24.0854	-24.6175
470	-24.3466	-24.7024
469	-24.2148	-24.8116
468	-24.7273	-25.0565
467	-25.081	-25.0503
466	-24.5052	-24.6875
465	-24.3606	-24.5312
464	-23.8646	-24.6109
463	-23.1997	-24.607
462	-23.0342	-24.1356
461	-22.9478	-23.8972
460	-22.4888	-23.2115
459	-22.2843	-22.5381
458	-22.2588	-22.4012
457	-21.9795	-21.9091
456	-21.6175	-21.244
455	-21.0766	-20.5677
454	-20.5741	-19.7989
453	-20.0128	-19.4072
452	-19.3593	-18.8226
451	-18.4179	-17.8719
450	-17.5094	-17.0926
449	-16.9121	-16.474
448	-16.2613	-16.1335
447	-15.9814	-15.7429
446	-15.8372	-15.3543
445	-14.8298	-14.5661
444	-14.348	-14.1471
443	-13.807	-13.79
442	-13.3656	-13.6583
441	-12.957	-13.0854
440	-12.1546	-12.4106
439	-11.5816	-11.6708
438	-10.7521	-10.8356
437	-10.2982	-10.5406
436	-9.75987	-9.97314
435	-9.31254	-9.48494
434	-9.10314	-8.88111
433	-8.93305	-8.65949
432	-8.74036	-8.35904
431	-8.49189	-7.81614
430	-8.08475	-7.44155
429	-8.05807	-7.37594
428	-7.65171	-6.84693
427	-7.49444	-6.71991
426	-7.0869	-6.17823
425	-6.68064	-6.07742
424	-6.32241	-5.52851
423	-6.02693	-5.44569
422	-5.96613	-4.92509
421	-5.55531	-4.86259
420	-5.22907	-4.51483
419	-5.19294	-4.62102
418	-4.83727	-4.37625
417	-4.71681	-4.22494
416	-4.3293	-3.90986
415	-4.42297	-4.22805
414	-4.39259	-4.1505
413	-4.1459	-3.98272
412	-4.08581	-4.08859
411	-3.64044	-3.63655
410	-3.38689	-3.37445
409	-3.30806	-3.18131
408	-3.36247	-3.23354
407	-3.13929	-2.89098
406	-2.67384	-2.48081
405	-2.45659	-2.26715
404	-2.38341	-2.44006
403	-2.55604	-2.39138
402	-2.82664	-2.38431
401	-2.47292	-2.27412
400	-2.15905	-2.03524
399	-2.18828	-1.96281
398	-2.33167	-1.85171
397	-2.63308	-1.68634
396	-2.43921	-1.43601
395	-2.18681	-1.20831
394	-2.04619	-1.20291
393	-2.11028	-1.26529
392	-2.07619	-1.33467
391	-1.97016	-1.10248
390	-2.03909	-1.26982
389	-1.77155	-1.38511
388	-1.58341	-1.12396
387	-1.68548	-1.25314
