TITLE	50% S-JS 20.5 hrs data
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/13
TIME	12:57:47
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    13.09112
MAXY	   105.80533
MINY	   -71.20193
XYDATA
Channel 1
	0.5	1.5
463	-50.4796	-51.1305
462	-49.2264	-49.8814
461	-47.8395	-48.6238
460	-46.5361	-47.2911
459	-45.2589	-45.8214
458	-43.8726	-44.7482
457	-42.5785	-43.1039
456	-41.3194	-41.7282
455	-39.8467	-40.1044
454	-38.4307	-38.7659
453	-37.5168	-37.7916
452	-36.4671	-36.7609
451	-35.6008	-35.834
450	-34.3433	-34.8444
449	-33.4949	-33.9539
448	-32.5939	-32.9461
447	-31.5003	-32.2182
446	-30.6629	-31.5126
445	-29.6035	-30.4787
444	-28.5104	-29.6265
443	-27.4905	-28.445
442	-26.8398	-27.4971
441	-26.0564	-26.5965
440	-25.3936	-26.0735
439	-24.5496	-25.2344
438	-23.5378	-24.1181
437	-22.7435	-23.3171
436	-22.0671	-22.4225
435	-21.3694	-21.5759
434	-20.6026	-20.9093
433	-19.7369	-20.1841
432	-18.6643	-19.2921
431	-18.1253	-18.6606
430	-17.7657	-18.4158
429	-17.3241	-17.9674
428	-16.6994	-17.498
427	-16.3375	-17.1103
426	-15.9542	-16.8035
425	-15.6107	-16.4018
424	-15.545	-15.8286
423	-15.2201	-15.4854
422	-14.7524	-14.7708
421	-14.5408	-14.5181
420	-14.2536	-14.0212
419	-13.8713	-13.8155
418	-13.5278	-13.325
417	-13.2144	-13.1152
416	-12.9009	-12.6516
415	-12.5589	-12.3196
414	-12.6677	-12.382
413	-12.7571	-12.2392
412	-12.7136	-12.1407
411	-12.3895	-11.8792
410	-12.1964	-11.8632
409	-12.082	-11.8835
408	-12.0529	-12.1137
407	-12.0818	-12.1915
406	-11.994	-12.0517
405	-11.9571	-12.1797
404	-11.543	-12.0838
403	-11.6651	-12.0121
402	-11.9502	-12.3153
401	-12.0557	-12.4311
400	-11.9313	-12.609
399	-11.8418	-12.5475
398	-12.0484	-12.5537
397	-12.019	-12.6234
396	-11.9785	-12.275
395	-12.1573	-12.8093
394	-12.1948	-12.7254
393	-12.1077	-12.7724
392	-12.2882	-12.5058
391	-12.607	-12.3651
390	-12.5799	-12.3215
389	-12.9087	-12.3941
388	-12.9744	-12.5105
387	-12.8826	-12.2362
386	-13.1387	-12.5525
385	-13.2922	-12.476
384	-13.3192	-12.5091
383	-13.0602	-12.3767
382	-12.9684	-12.4201
381	-12.6498	-12.5146
380	-12.6547	-12.5689
379	-12.4357	-12.6603
378	-12.0107	-12.2404
377	-11.6079	-12.2263
376	-11.3429	-11.9126
375	-11.1937	-11.5021
374	-10.8766	-11.3422
373	-10.6278	-11.0378
372	-10.6945	-10.8602
371	-10.551	-10.4436
370	-10.8432	-10.3528
369	-11.1403	-10.6619
368	-10.9471	-10.481
367	-10.7709	-10.5386
366	-10.4424	-10.4265
365	-10.4029	-10.664
364	-10.3424	-10.4839
363	-10.1618	-10.4506
362	-9.76561	-10.4909
361	-9.37367	-10.2373
360	-9.42614	-9.91696
359	-9.43278	-9.80483
358	-9.46611	-9.72958
357	-9.38549	-10.0165
356	-9.44796	-9.84115
355	-9.42243	-9.94956
354	-9.47207	-9.72066
353	-9.18262	-9.87225
352	-8.75272	-9.32302
351	-8.41883	-9.36745
350	-8.22605	-9.08179
349	-7.98137	-8.49258
348	-7.49261	-7.80879
347	-7.07305	-7.23995
346	-6.48442	-6.70268
345	-6.30521	-6.08525
344	-5.91848	-5.78347
343	-5.66234	-5.4017
342	-5.01024	-4.62778
341	-4.40487	-4.04939
340	-4.34482	-3.89861
339	-3.98491	-3.52871
338	-3.70683	-3.11495
337	-3.55897	-2.85424
336	-3.24818	-2.46851
335	-2.90882	-2.22217
334	-2.5944	-2.14241
333	-2.24769	-1.79685
332	-1.79244	-1.4151
331	-1.47558	-1.30378
330	-0.940361	-1.01404
329	-0.391558	-0.530625
328	0.139973	-0.151933
327	0.604252	0.568089
326	0.943203	1.32024
325	1.1185	1.67791
324	1.25337	1.88466
323	1.88878	2.45877
322	2.29744	2.81539
321	2.17063	2.9813
320	2.13134	3.28263
319	2.29368	3.11154
318	2.49058	3.05655
317	2.35011	2.79036
316	2.46202	2.79872
315	2.55702	2.85331
314	2.03818	2.56437
313	2.06663	2.49995
312	2.23445	2.22202
311	2.26552	2.02153
310	1.63441	1.66924
309	1.65934	1.69775
308	1.41814	1.24826
307	1.0429	1.11251
306	0.806512	0.943525
305	-0.2958	-0.205501
304	-1.14315	-1.01445
303	-2.03772	-2.01872
302	-2.81726	-2.73772
301	-4.10983	-3.78319
