TITLE	100%S-JS after 7-30 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/18
TIME	19:18:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -1.86355
MAXY	    21.57214
MINY	   -24.18535
XYDATA
Channel 1
	0	1.01667
480	-20.4271	-19.256
479	-20.9315	-19.53
478	-21.4552	-20.4068
477	-21.3232	-20.8843
476	-21.8553	-21.7358
475	-22.132	-22.1998
474	-22.599	-22.9763
473	-22.4465	-23.0226
472	-22.6543	-23.5243
471	-22.6545	-23.6639
470	-22.8144	-23.8361
469	-23.8797	-24.062
468	-24.1853	-23.8569
467	-24.0406	-24.0521
466	-23.8867	-23.7548
465	-24.1265	-24.0737
464	-23.6136	-24.0721
463	-24.011	-24.0839
462	-23.8826	-23.8607
461	-23.5336	-23.1852
460	-23.1246	-22.4937
459	-22.8785	-22.0235
458	-22.8636	-22.0113
457	-22.0158	-21.4529
456	-21.8293	-20.9352
455	-21.0544	-20.4965
454	-20.7096	-20.0221
453	-20.0708	-19.4491
452	-19.7206	-19.0129
451	-19.2012	-18.4409
450	-18.6498	-17.8602
449	-17.9636	-17.1832
448	-17.1418	-16.6196
447	-16.6604	-16.1321
446	-16.2879	-15.4325
445	-15.897	-14.9894
444	-14.6601	-14.6279
443	-13.6833	-14.3368
442	-13.1858	-13.7662
441	-12.8316	-13.382
440	-12.4405	-12.6936
439	-12.2626	-12.2776
438	-11.6791	-11.9826
437	-11.1802	-11.3124
436	-10.7983	-10.8602
435	-10.5354	-10.0892
434	-10.3473	-9.62285
433	-9.82822	-9.37153
432	-9.28341	-8.97516
431	-8.69447	-8.37126
430	-7.91801	-7.91926
429	-7.41452	-7.56911
428	-6.93666	-7.10814
427	-6.42661	-6.54829
426	-5.93074	-6.45143
425	-5.64166	-5.91359
424	-5.1752	-5.12858
423	-4.95315	-4.69426
422	-4.78354	-4.62826
421	-4.64672	-4.16564
420	-4.3996	-3.99742
419	-4.14471	-3.78838
418	-3.90359	-3.45148
417	-3.31487	-3.21652
416	-3.26214	-3.35868
415	-3.44337	-3.5425
414	-3.11787	-3.3268
413	-2.97168	-3.06427
412	-2.80581	-2.92214
411	-2.59118	-2.66641
410	-2.51435	-2.40921
409	-2.71258	-2.45962
408	-2.50085	-2.42169
407	-2.43912	-2.12504
406	-2.2566	-1.85164
405	-2.25625	-1.71632
404	-1.85408	-1.74681
403	-1.92376	-1.757
402	-2.00402	-1.73897
401	-2.13969	-1.8192
400	-2.11082	-1.80213
399	-2.04023	-2.11133
398	-2.06479	-2.16213
397	-2.13508	-2.32868
396	-1.95985	-2.09345
395	-2.03004	-1.90693
394	-1.91878	-1.83052
393	-1.86079	-1.35752
392	-1.56615	-1.18959
391	-1.5447	-1.18122
390	-1.56821	-0.953605
389	-1.49178	-0.694501
388	-1.55334	-0.691688
387	-1.43637	-0.577774
386	-1.46843	-0.65208
385	-1.29238	-0.715625
384	-1.24054	-0.796701
383	-1.04421	-0.349802
382	-0.849088	-0.363129
381	-0.753775	-0.570154
380	-0.773601	-0.521824
379	-0.786858	-0.59097
378	-0.721058	-0.573584
377	-0.600458	-0.594205
376	-0.319964	-0.345932
375	-0.307908	-0.405057
374	-0.252542	-0.375418
373	-0.494591	-0.365737
372	-0.38676	-0.221282
371	-0.0255262	-0.286862
370	0.121771	-0.0731894
369	-0.0914295	-0.295039
368	-0.231833	-0.543024
367	-0.290835	-0.690439
366	-0.0988789	-0.618479
365	0.113782	-0.63912
364	0.189527	-0.390785
363	0.131256	-0.0689536
362	0.452896	0.222066
361	0.740722	0.530307
360	1.31539	1.08303
359	1.58176	1.44227
358	1.73805	1.56949
357	1.9052	1.93847
356	2.14095	2.14657
355	2.46291	2.04597
354	2.37506	1.96563
353	2.45342	1.92584
352	2.64097	2.21511
351	2.54872	2.3175
350	2.67375	2.23081
349	2.74748	2.35539
348	2.99434	2.53354
347	3.04115	2.74442
346	2.9685	2.76523
345	2.91912	2.80079
344	2.92109	2.9009
343	3.04994	2.82853
342	3.02756	2.77438
341	3.25399	3.22041
340	3.39137	3.16242
339	3.51784	3.25071
338	3.6493	3.51307
337	3.7489	3.65104
336	3.81613	3.67199
335	3.89167	3.86933
334	3.71101	3.93179
333	3.38587	3.73268
332	2.83929	3.78566
331	2.70407	3.87468
330	2.73838	3.59048
329	2.41147	3.46206
328	2.45227	3.62719
327	2.36468	3.57909
326	2.64736	3.16714
325	2.57754	3.11469
324	3.10967	2.78108
323	2.79551	2.51294
322	3.07504	2.5124
321	2.80847	2.31867
320	2.48014	1.81285
319	2.64184	1.77916
318	2.26533	1.56179
317	2.06795	1.39442
316	1.9227	1.38522
315	1.54631	1.0841
314	1.45998	1.13797
313	1.37377	1.04565
312	1.47677	0.977891
311	1.24209	0.578865
310	1.12928	0.566173
309	0.780772	0.397424
308	0.625622	0.274506
307	0.203175	-0.259504
306	-0.35832	-0.509576
305	-0.654894	-0.687083
304	-1.09195	-0.940338
303	-1.08052	-1.04827
302	-1.22739	-1.27735
301	-1.36743	-1.60188
300	-1.63801	-2.06887
Channel 2
	0	1.01667
700	-1.86355	-2.58651
699	-1.81579	-2.69361
698	-2.05582	-2.69583
697	-2.10952	-2.64907
696	-2.09538	-2.87525
695	-1.96366	-2.95005
694	-2.0503	-2.87842
693	-2.48104	-2.81005
692	-2.42006	-2.88999
691	-2.8742	-2.92224
690	-2.65256	-2.68269
689	-2.25663	-2.43693
688	-2.32657	-2.07333
687	-2.00182	-2.17122
686	-2.09494	-2.13071
685	-2.01026	-2.26716
684	-1.74802	-2.11598
683	-1.73633	-1.83206
682	-1.69339	-1.74266
681	-1.65755	-2.16697
680	-1.40528	-2.08226
679	-1.98015	-2.13824
678	-1.98907	-1.96514
677	-2.26485	-2.38415
676	-3.24355	-2.84718
675	-3.39055	-3.31952
674	-3.37497	-3.40913
673	-3.3394	-2.72535
672	-3.85976	-2.90242
671	-4.12431	-3.21251
670	-4.20239	-3.05556
669	-3.92403	-2.63106
668	-2.8634	-2.02867
667	-2.60427	-1.96358
666	-2.97613	-2.30044
665	-3.00221	-2.10283
664	-2.58286	-1.87823
663	-2.78419	-1.82417
662	-3.06549	-1.88036
661	-2.84653	-1.82804
660	-3.37114	-1.95993
659	-3.74474	-1.9427
658	-3.24862	-1.97426
657	-3.4179	-2.52088
656	-3.48504	-2.79517
655	-3.00433	-2.68707
654	-2.74182	-2.33033
653	-2.4825	-2.18494
652	-2.90376	-2.48536
651	-3.02461	-2.41344
650	-2.89073	-1.97466
649	-2.57704	-1.75645
648	-2.55931	-1.49282
647	-2.6721	-1.43301
646	-2.54666	-1.48892
645	-2.86247	-1.76385
644	-2.44279	-1.55358
643	-1.68622	-1.35822
642	-1.8853	-1.38202
641	-1.75022	-1.48827
640	-1.68306	-1.89931
639	-1.19867	-1.37446
638	-0.882409	-1.10191
637	-0.735554	-0.78436
636	-0.504879	-0.695381
635	-0.715438	-0.716959
634	-0.228856	-0.706552
633	-0.409994	-0.851458
632	-0.693193	-0.715601
631	-1.08313	-0.888297
630	-0.789651	-0.58473
629	-0.747174	-0.712664
628	-1.13948	-0.983061
627	-1.67603	-1.20327
626	-1.56913	-1.18362
625	-1.4552	-1.4452
624	-1.55563	-1.59393
623	-1.28198	-1.50564
622	-1.09366	-1.43201
621	-1.79507	-2.09475
620	-1.57617	-2.28079
619	-1.66486	-1.92383
618	-1.86471	-2.12071
617	-2.18885	-1.45694
616	-1.81752	-1.31305
615	-2.34539	-1.46746
614	-2.34168	-1.43707
613	-2.12173	-1.40228
612	-2.34865	-1.2872
611	-2.38719	-1.81973
610	-2.20829	-1.85414
609	-2.10713	-1.92226
608	-2.71361	-2.11752
607	-2.2383	-2.41011
606	-2.91083	-2.7208
605	-2.7033	-2.77014
604	-2.57943	-2.53058
603	-2.25965	-1.98739
602	-2.0135	-1.62767
601	-1.98487	-1.73367
600	-2.20371	-2.01275
599	-2.0686	-1.88158
598	-1.75143	-1.73079
597	-1.8536	-1.90998
596	-1.78197	-1.73021
595	-1.72618	-1.69715
594	-1.67354	-1.68043
593	-1.90505	-1.45054
592	-1.83692	-1.40748
591	-1.88946	-0.908265
590	-1.54403	-0.584981
589	-1.2019	-0.0441218
588	-0.615967	-0.272668
587	-0.465771	-0.362981
586	0.177809	-0.330892
585	0.478101	-0.348501
584	1.10642	-0.14758
583	1.37136	-0.292774
582	1.46451	0.519838
581	2.16952	0.964468
580	2.58246	1.52126
579	3.50368	2.59434
578	4.01244	4.01794
577	5.1974	4.96967
576	6.39714	5.89125
575	8.08966	7.36519
574	9.73719	8.62751
573	11.2907	10.0388
572	12.6353	11.9148
571	14.0856	13.639
570	15.4751	15.1599
569	16.9881	17.0037
568	18.1544	18.1845
