TITLE	100% R-JS 6hrs to 26 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/15
TIME	13:56:45
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     2.21820
MAXY	    23.24519
MINY	    -7.87398
XYDATA
Channel 1
689	-0.318695	0.0267462	0.132176	0.662017	1.19694	-0.438399	-0.488103	0.585394	0.296227	0.650163	-0.25084	0.285105	1.70552	0.184292	1.02493	0.0496282	-0.193298	0.201327	0.555395	0.691061	0.319958	0.4256	0.953148	1.05103	0.66114	1.16938	1.01907	1.01403	1.09646	0.996404	0.413157	0.720824	0.67849	0.736083	0.25212	0.635248	0.592165	1.20452	-0.401588	1.84661	0.487258
688	0.308002	0.767629	0.629835	1.31321	1.80841	0.195455	0.427734	0.747465	0.626912	0.867665	0.204915	1.05519	2.25041	0.937501	1.40281	0.489521	0.0840286	0.759553	0.879313	0.543256	0.54882	1.02727	1.16357	1.26024	0.799196	1.88647	1.41222	1.50053	1.42984	1.14015	0.735372	0.62219	0.887035	1.27579	0.664438	1.11141	1.12283	1.33758	0.276286	2.31143	0.715922
687	0.74231	1.06771	0.749469	0.971186	1.94932	0.473272	1.09354	0.84552	1.38099	1.10252	0.463244	1.00116	2.13363	0.901121	1.63434	0.713686	0.597021	0.853103	0.946319	1.15715	0.789127	1.24678	1.37384	1.53696	1.06259	1.9646	1.46578	1.9757	1.80246	1.39356	0.778759	1.27868	0.803355	1.56157	0.926622	1.58992	1.17725	1.41317	0.656106	2.24635	0.807327
686	1.02521	1.1396	0.795915	0.895556	1.95324	0.556605	1.15055	0.861211	1.74922	1.34282	0.366099	1.0664	2.36092	1.00833	1.44192	1.20077	0.93297	0.799259	1.19582	1.29717	0.903241	1.56635	1.67985	1.77788	1.14249	2.1402	1.47873	2.05224	1.88125	1.53567	1.14012	1.44139	0.884602	1.85741	1.04279	1.54305	1.50946	1.54631	0.823546	2.21784	1.35435
685	1.3157	1.44727	1.44512	1.20387	2.29374	0.845512	1.11457	1.4607	2.37038	1.59944	0.8588	1.48261	2.66268	1.10537	1.30394	1.80747	1.16218	0.708339	1.90527	1.49179	1.13715	1.61549	1.77276	1.98354	1.3978	2.10772	1.68462	2.56935	1.98694	1.56944	1.41848	1.9253	1.22791	2.0744	0.91179	1.66505	1.85045	2.28805	1.1159	2.32134	1.46784
684	1.17877	1.26131	1.31542	1.18841	1.97864	1.13302	1.20305	1.30225	2.07747	1.3622	0.568825	1.33869	2.50718	0.908752	1.55629	1.55849	1.21298	0.777856	1.88806	1.50798	0.823785	1.65882	1.50185	1.92463	1.5817	1.60194	1.43527	2.69143	1.81855	1.35155	1.19774	1.77467	1.11232	1.74329	0.834364	1.45224	1.53874	2.06352	0.695593	2.1869	1.27865
683	1.32985	1.44297	1.59981	1.3911	1.62746	1.29068	1.09284	1.01805	1.56411	1.41065	0.745144	1.27548	2.56927	1.25044	1.50908	1.77412	1.17653	0.975788	1.95955	1.11791	0.79853	1.92549	1.72159	2.01377	1.41111	1.99937	1.41321	2.35845	1.44729	1.3937	1.33744	1.40341	1.27931	1.56314	0.944522	1.31524	1.25088	1.7676	0.791411	1.4785	1.43294
682	1.96688	1.85953	1.98152	1.66699	1.62909	1.60492	1.2958	1.39977	1.59135	1.45476	1.24307	1.38382	2.99958	1.53846	1.97434	1.9691	1.5148	0.970135	2.24086	1.50575	1.46793	2.18222	1.97737	2.22341	1.64431	2.01256	1.74388	2.58676	1.7601	1.58872	1.42094	1.6331	1.63078	1.52176	1.68454	1.52561	1.4021	2.01101	1.4966	1.55386	1.7445
681	2.3441	1.40143	2.22609	1.82656	1.42625	1.50668	1.86067	1.44294	1.85751	1.52852	1.66823	1.80646	2.80786	1.77772	1.74854	2.0495	1.68694	1.54157	2.32703	1.67362	1.58222	2.46122	2.00228	1.97235	1.73081	2.07932	1.8514	2.81036	2.15473	1.56786	1.93369	1.51318	1.6736	1.42134	1.62113	1.42383	1.64129	2.07056	1.43179	1.78789	1.74991
680	1.94834	1.23799	2.40248	1.21536	0.885883	1.35765	1.5283	1.06952	1.91297	1.6007	1.27027	1.5629	2.31307	1.33855	1.76422	2.07803	1.62672	1.30257	1.91049	1.84799	1.22014	2.08162	1.78164	1.87106	1.69016	1.70467	1.46497	2.67092	2.19706	1.76413	2.02154	1.65427	1.75325	0.939723	1.33497	1.14638	1.28625	1.83993	1.15338	1.4397	1.20163
