TITLE	10% S-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/20
TIME	17:51:08
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     6.20964
MAXY	    14.40103
MINY	   -18.37549
XYDATA
Channel 1
890	0.756915	-6.1075	-8.02937	-7.06976	-2.79503	-3.85557	-6.11316	-4.12648	-6.1413	-10.3898	-8.79308	-10.0917	-6.41818	-8.17952	-10.516	-15.7558	-17.3168	-17.0492	-13.4507	-12.8809	-13.8595	-10.1984	-16.2444	-11.9043	-12.5127	-11.6343	-11.1068	-9.05075	-11.1808	-12.7705	-10.6327	-11.8761	-9.51075	-9.78756	-7.02268	-10.6681	-11.1963	-9.45102
889	1.131	-6.95516	-6.87229	-5.59645	-2.06193	-2.53132	-4.74417	-4.71835	-4.82939	-10.6551	-7.64336	-9.92843	-7.94132	-7.73132	-7.46252	-13.0309	-15.0102	-13.9707	-12.8843	-13.4202	-15.4179	-10.6389	-14.339	-11.8009	-10.7043	-12.405	-7.46738	-8.20283	-8.76966	-12.5522	-10.6006	-10.0528	-7.45727	-7.7433	-6.88533	-11.2015	-8.17732	-8.25898
888	3.34692	-6.72313	-6.46535	-4.18913	-1.49779	-1.58241	-1.77589	-3.53409	-3.1196	-9.12786	-5.67051	-10.2111	-3.75214	-5.40768	-5.17065	-11.1656	-12.5833	-11.6103	-10.8711	-12.804	-14.5552	-8.85135	-12.3385	-7.45457	-9.08897	-10.2067	-5.02332	-6.24925	-6.21337	-11.6911	-9.02914	-7.17783	-5.42108	-4.71086	-5.10215	-8.55005	-3.70214	-5.18086
887	1.23089	-9.84623	-9.90904	-7.54213	-4.06681	-3.42361	-3.18175	-5.82946	-6.66953	-11.1446	-6.51705	-12.2895	-5.31815	-7.78507	-6.57087	-13.5136	-15.0314	-12.9626	-12.208	-14.0988	-15.7444	-10.4487	-13.9484	-9.47119	-12.4936	-12.3253	-7.63732	-9.25381	-7.3486	-12.9578	-11.505	-9.66494	-7.67722	-5.53681	-8.01036	-10.2255	-6.27616	-7.71811
886	2.43906	-7.23511	-8.56128	-5.20201	-5.76395	-3.71166	-1.78857	-5.04242	-4.30324	-8.93686	-4.33994	-11.4212	-2.75076	-5.77071	-3.42889	-10.8457	-15.4346	-9.1966	-11.068	-12.5793	-12.7059	-9.54136	-11.9897	-7.25298	-10.3933	-8.86815	-6.22431	-7.8105	-7.10116	-9.95666	-11.7765	-8.01926	-6.89703	-3.19	-5.09871	-8.07544	-4.16428	-6.59858
885	3.66876	-5.58673	-7.45829	-2.53785	-6.7633	-4.53634	-0.263359	-5.86626	-3.75535	-8.40098	-3.13158	-8.38604	-3.71258	-6.32003	-3.87195	-10.4567	-14.6917	-5.2847	-11.5896	-13.3584	-11.5683	-9.83523	-10.8092	-6.55573	-10.5045	-8.46965	-6.97324	-7.84832	-6.09259	-8.053	-10.1945	-6.70579	-6.0616	-2.859	-4.34513	-6.90025	-5.6194	-6.68535
884	6.18535	-4.91446	-4.84382	-3.23334	-7.74985	-4.3532	-0.370441	-5.95188	-3.8501	-8.20386	-3.89194	-5.8264	-2.53174	-8.43533	-4.24376	-9.89002	-16.5969	-8.18714	-11.1151	-13.0177	-11.6608	-9.65377	-10.0721	-8.76629	-10.8715	-6.87813	-6.87972	-8.79357	-5.85911	-7.10591	-10.3414	-8.28979	-5.7412	-4.19413	-6.52966	-5.08777	-6.49713	-8.58772
883	5.76745	-5.34526	-5.73443	-3.2167	-9.37086	-5.36168	-1.18605	-7.77331	-3.66593	-7.10639	-4.7141	-5.80669	-5.0612	-10.1576	-7.74166	-10.0047	-17.7885	-9.09415	-12.7241	-15.0813	-11.5291	-12.0013	-9.26324	-10.1086	-11.2415	-9.10851	-8.04926	-11.5989	-6.82081	-6.7949	-11.0108	-7.8093	-5.6009	-5.63241	-9.46524	-5.75484	-6.77558	-10.1382
882	5.5582	-2.99001	-4.30552	-1.44972	-7.11218	-4.90461	-0.924225	-7.10596	-3.66195	-4.593	-2.31606	-5.4808	-5.59375	-10.0077	-8.03728	-11.9316	-16.1603	-8.69136	-13.5972	-13.4275	-10.7649	-10.6492	-7.43047	-8.61997	-10.0058	-8.75148	-8.74944	-12.3602	-4.65052	-6.8208	-8.34218	-7.30416	-6.87106	-4.53596	-9.30035	-5.75804	-5.64317	-7.88015
881	4.83192	-1.17072	-4.33572	0.153515	-6.88524	-2.21215	-0.534858	-6.60622	-3.69736	-5.04206	-4.17144	-7.21924	-5.11445	-11.562	-9.07548	-13.0524	-16.6903	-10.8475	-14.4254	-12.4155	-10.8624	-9.66879	-7.15354	-7.37773	-10.6369	-7.96936	-8.34964	-14.0788	-4.63565	-4.94808	-7.0772	-7.4522	-6.91145	-4.59856	-8.4604	-4.44772	-6.22874	-7.9486
880	2.658	0.368573	-1.57826	0.907276	-7.64928	-3.6756	-0.121026	-5.41512	-3.87984	-3.58196	-5.59431	-5.48468	-6.21272	-8.46953	-10.0646	-14.2018	-18.1377	-10.9954	-15.4166	-12.0637	-8.49464	-9.44714	-8.47661	-8.77221	-12.4318	-8.78501	-9.51231	-14.8499	-4.92125	-3.69354	-7.67966	-7.3058	-7.54662	-5.71576	-8.61422	-5.59362	-7.30147	-9.75291
879	3.23242	1.62529	-0.990361	1.40003	-7.25712	-3.84775	0.339303	-6.33217	-3.65148	-4.12835	-5.79293	-6.22458	-7.37452	-7.51448	-10.6508	-13.612	-16.402	-11.2826	-16.1228	-11.5093	-9.15921	-9.53314	-9.7404	-8.93944	-11.3093	-7.99196	-9.80581	-14.3849	-5.8992	-3.8652	-7.3024	-6.11907	-7.14273	-7.44771	-9.66183	-6.14717	-7.25271	-8.56034
878	1.74163	0.621896	0.613808	0.709066	-5.51251	-3.89598	1.00924	-6.7318	-5.47546	-2.13939	-7.11919	-6.98697	-9.80081	-8.86515	-11.0487	-14.9368	-13.9233	-13.5518	-15.1653	-11.3673	-11.1142	-10.4037	-10.5871	-9.43687	-10.9814	-8.76991	-10.674	-14.5164	-4.33392	-5.24516	-6.7183	-7.15983	-6.03797	-9.31007	-12.7105	-8.08572	-7.76105	-10.0966
877	1.94435	-0.911806	-0.30423	-1.17461	-5.0053	-3.0491	-1.38736	-6.39642	-5.02277	-2.05283	-8.75836	-9.21689	-8.43642	-8.62269	-11.7546	-13.7026	-15.3505	-16.6388	-14.6344	-12.2674	-12.7741	-10.0356	-11.0651	-9.40324	-11.5229	-11.6893	-10.2375	-16.2022	-7.08065	-7.73889	-7.52378	-7.88868	-7.28494	-11.2213	-14.0128	-8.52096	-8.32962	-10.9804
876	-2.50664	-5.20419	-4.53794	-3.18868	-5.59332	-3.6677	-4.44765	-8.90721	-7.26261	-5.64057	-12.1174	-12.4056	-12.3457	-11.1866	-13.2607	-18.9625	-16.3299	-17.4304	-16.2686	-15.5534	-14.7152	-11.6057	-14.1252	-10.4591	-15.2545	-15.0862	-13.2226	-19.4211	-8.76025	-10.2173	-10.3758	-8.86749	-11.1835	-11.0389	-16.8788	-11.6536	-8.98805	-11.2396
875	-2.8155	-3.9474	-4.14737	-2.69447	-3.76126	-3.15302	-1.42337	-8.56242	-7.12406	-4.74876	-11.4556	-14.1108	-14.828	-8.2641	-10.6838	-18.031	-15.2075	-16.1666	-15.1619	-11.8586	-13.6655	-10.3223	-12.9158	-10.2573	-14.4554	-13.357	-12.4219	-17.1057	-9.44375	-10.1074	-8.10568	-7.31573	-11.1123	-10.6083	-14.258	-10.6551	-7.35641	-10.6284
874	-3.47702	-2.17965	-7.04714	-2.46386	-4.54646	-2.98159	-3.04536	-8.09544	-9.64913	-6.15399	-11.5988	-15.6038	-12.1152	-8.74877	-8.76208	-14.6904	-14.8911	-16.293	-14.244	-13.0172	-12.7891	-10.7773	-13.2179	-10.4386	-13.428	-13.226	-10.8466	-14.1204	-11.8489	-8.47408	-9.25651	-7.90404	-10.896	-10.1295	-13.3537	-10.6818	-6.87454	-11.3937
873	-4.84967	-3.09455	-9.25526	-3.62102	-6.5051	-5.58529	-2.48115	-7.18626	-12.603	-7.7227	-13.0186	-15.178	-12.3204	-8.61846	-8.42531	-17.2592	-17.4251	-15.4524	-14.6517	-12.3709	-13.4406	-11.1694	-14.9193	-12.101	-14.7263	-13.4807	-13.7329	-13.8949	-12.9412	-10.4546	-12.1065	-8.49403	-12.353	-10.0554	-14.5014	-9.76507	-8.03875	-11.454
872	-6.88094	-5.94172	-9.76739	-5.01129	-3.68878	-8.09534	-3.78522	-7.53907	-13.6405	-9.71541	-12.9877	-13.4194	-12.3588	-9.89538	-8.17429	-16.4375	-17.0898	-14.0658	-14.4349	-13.1131	-14.0224	-12.4593	-15.5073	-11.9142	-14.8053	-12.4637	-13.8849	-14.5378	-13.9318	-11.9577	-12.7628	-11.1499	-12.0708	-9.74614	-14.6082	-9.85082	-8.63669	-11.1146
871	-7.38271	-5.77682	-9.66891	-3.05001	-1.99838	-5.60878	-3.61403	-5.06124	-13.9535	-7.94021	-11.8232	-10.6657	-9.18233	-10.8428	-7.50699	-15.4576	-14.5755	-11.8777	-11.65	-10.3418	-11.7607	-12.1954	-12.0133	-9.05395	-12.6697	-12.9745	-11.6217	-14.6276	-14.3055	-12.476	-10.754	-10.2422	-10.8303	-8.17835	-13.3857	-8.36182	-7.04209	-10.5327
870	-7.2696	-6.80444	-10.9136	-3.62623	-1.91818	-4.04508	-4.72334	-3.67077	-15.4595	-7.92069	-11.556	-10.8668	-9.12922	-12.6882	-8.65666	-15.6635	-17.9233	-12.4609	-12.5637	-12.2816	-11.6089	-11.8456	-12.6292	-11.3806	-12.3242	-13.7829	-12.5135	-14.4056	-13.6136	-12.9165	-11.3959	-11.2146	-11.2128	-8.26632	-12.1301	-8.9005	-7.76202	-11.1785
869	-8.72447	-8.42333	-12.2455	-4.62741	-1.71761	-4.66892	-4.69516	-5.4539	-15.9801	-10.2768	-11.2983	-10.066	-10.3236	-14.5352	-8.21917	-15.5162	-18.0094	-12.9925	-11.8896	-12.5531	-12.3017	-13.5865	-13.1567	-12.9422	-12.4136	-13.908	-13.1755	-15.7333	-13.6953	-13.6343	-12.6686	-11.2717	-12.8733	-9.36355	-12.8222	-10.257	-9.11801	-12.6454
868	-8.05737	-6.69679	-12.3297	-4.43836	-1.59844	-3.98485	-4.13394	-3.94566	-14.911	-10.0178	-9.43552	-10.3973	-7.68648	-12.3092	-9.06062	-14.6412	-17.973	-12.4923	-11.721	-9.21619	-11.979	-13.235	-11.7793	-12.5352	-10.5151	-11.3796	-13.9058	-14.6886	-10.6593	-14.548	-12.5354	-11.1102	-12.5029	-11.066	-11.9238	-10.1008	-9.30673	-12.7776
867	-10.5037	-8.57787	-11.8826	-5.10555	-4.39349	-6.42998	-6.85417	-4.55286	-18.195	-12.7284	-9.35908	-11.6958	-7.77138	-12.6846	-10.0629	-15.6978	-17.78	-13.0943	-11.7985	-12.5071	-14.3509	-14.0539	-12.8771	-14.0755	-12.4805	-12.1943	-15.2998	-15.9322	-12.2387	-15.5006	-14.9169	-12.6408	-12.0907	-11.7642	-14.36	-10.8599	-12.0247	-14.3592
866	-10.7528	-11.2505	-10.4131	-5.55094	-4.77392	-6.31997	-7.02644	-3.48463	-15.0278	-12.3446	-9.70777	-11.5527	-7.20585	-13.725	-11.4688	-17.5578	-19.0588	-11.4993	-10.6583	-12.3491	-14.4063	-12.4667	-11.9378	-13.4733	-13.8197	-13.8816	-17.0202	-14.274	-10.5621	-16.8182	-13.8227	-10.9654	-12.0672	-11.1113	-14.2646	-12.124	-12.8398	-13.7093
865	-8.10422	-11.2813	-7.88972	-5.62854	-4.68254	-5.96088	-7.46549	-6.67278	-12.2777	-11.7771	-8.947	-11.231	-6.74566	-13.8518	-11.2586	-15.9778	-17.5546	-13.8109	-8.74705	-13.4112	-12.6713	-12.6403	-12.2953	-11.7598	-13.3057	-13.78	-16.8275	-12.989	-10.1981	-15.4019	-12.2511	-10.8512	-12.3612	-11.4014	-14.4506	-13.9835	-12.8874	-14.3519
864	-7.10625	-8.73445	-7.2484	-2.11609	-4.80058	-6.58656	-7.52733	-6.23168	-10.3851	-10.4723	-8.64391	-11.8379	-7.61612	-13.9646	-10.4772	-15.9105	-16.1635	-14.5337	-9.09927	-13.9014	-13.1866	-11.2502	-12.8393	-11.265	-11.7514	-13.9325	-15.6024	-11.0593	-9.34758	-13.7291	-10.96	-8.6566	-12.5329	-11.7325	-14.887	-14.7222	-13.0355	-13.1699
863	-3.75066	-6.77277	-5.02702	-0.839767	-3.01578	-5.333	-5.7559	-6.18554	-6.98191	-8.25701	-5.77141	-9.11147	-7.27522	-11.3949	-7.73069	-15.3421	-13.377	-11.3004	-7.98563	-12.5384	-10.7972	-9.7536	-11.2984	-10.961	-10.367	-10.9461	-15.4003	-8.00497	-7.71691	-11.5036	-9.75877	-7.38086	-11.392	-10.427	-13.2684	-13.9239	-13.6	-11.3128
862	-2.27355	-6.57165	-4.93193	0.791205	-2.78637	-6.52156	-6.5306	-7.18116	-6.43517	-6.69221	-4.39328	-7.74679	-7.48374	-11.1237	-7.56038	-16.2216	-13.3465	-10.558	-7.62652	-10.5209	-9.10527	-10.229	-11.6514	-8.95146	-11.0255	-10.6557	-14.8066	-9.05935	-7.53098	-12.4173	-8.82386	-6.63116	-10.7809	-8.54236	-11.9664	-13.8403	-13.3519	-11.7519
861	-1.97538	-8.47884	-6.31288	-0.145162	-4.26482	-6.87696	-7.95102	-6.45361	-7.2247	-6.29446	-5.45357	-8.89256	-9.52624	-10.3772	-7.66605	-16.653	-13.8615	-9.81616	-8.97436	-11.0265	-8.00083	-10.3395	-12.2602	-10.0403	-10.6032	-10.2909	-13.6196	-9.02426	-8.31144	-12.0618	-9.85638	-8.02595	-11.3002	-8.33522	-12.0828	-13.1809	-11.9067	-11.0576
860	-0.767973	-6.12682	-3.25837	1.64026	-3.51901	-5.96346	-5.61113	-3.3531	-6.25162	-3.31396	-3.57784	-7.19243	-8.3443	-9.98047	-6.10758	-16.9607	-13.6186	-9.65914	-7.91207	-10.3767	-5.79445	-8.97153	-11.2058	-8.34518	-9.53101	-9.5757	-12.3431	-6.76777	-7.58596	-10.3041	-8.31654	-6.39195	-8.42771	-6.15484	-9.87135	-13.0334	-10.0671	-10.0687
859	0.092091	-7.01959	-3.75016	-0.308197	-3.33848	-5.16541	-5.3173	-4.76031	-6.68701	-4.15193	-3.06864	-7.31492	-10.0697	-11.3869	-6.87843	-18.3393	-13.5504	-10.9852	-10.1374	-10.2591	-6.23223	-9.69687	-11.4461	-8.40525	-9.54834	-10.7521	-11.0484	-8.03325	-7.32059	-10.9181	-8.48403	-8.10223	-9.86427	-6.46591	-9.36199	-13.7662	-10.9254	-10.7553
858	2.94437	-5.10686	-0.829688	-1.081	-2.7967	-2.88379	-4.88569	-4.64356	-4.42893	-4.29756	-2.99863	-5.27279	-8.66911	-10.231	-6.28468	-17.022	-15.346	-9.25901	-9.27469	-8.5963	-5.57537	-8.41854	-10.682	-7.49309	-7.7317	-8.90996	-9.63195	-6.89586	-6.62952	-8.79884	-8.22766	-8.27269	-8.31236	-4.80882	-7.93054	-12.0598	-9.84507	-10.7652
857	0.723683	-4.51385	-1.89727	-1.33433	-2.6325	-3.17815	-5.18251	-4.07839	-6.88303	-4.57525	-2.76662	-5.62797	-9.02254	-9.5789	-6.08153	-16.5739	-15.0698	-9.10215	-10.4245	-9.08112	-5.99308	-8.40549	-9.7119	-7.95189	-9.06809	-7.44799	-8.21063	-8.24472	-8.09302	-9.18981	-9.97345	-7.60323	-7.61895	-5.00196	-5.99058	-11.2043	-9.38478	-10.4643
856	0.418459	-5.92864	-3.03175	-2.65277	-1.25996	-2.51833	-5.33054	-3.8102	-6.1623	-3.36598	-2.69043	-5.71959	-8.47032	-8.79435	-6.52561	-16.6339	-15.1224	-9.60088	-11.4876	-7.95747	-6.17733	-8.51557	-8.20086	-8.19913	-8.15287	-6.82131	-8.81458	-8.68393	-8.3496	-10.6942	-9.6618	-7.6953	-7.15188	-6.36283	-6.23163	-10.2691	-9.54557	-11.6984
