TITLE	40% R-JS18 hrs 20 min
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/11
TIME	12:24:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	    -5.16492
MAXY	    14.27378
MINY	    -6.08601
XYDATA
Channel 1
	0	20	40	60.0167	80.0167	100.033	120.033	140.033	160.05	180.05	200.05	220.067	240.067	260.067	280.083	300.083	320.083	340.1	360.1	380.1	400.117	420.117	440.133	460.133	480.133	500.15	520.15	540.15	560.167	580.167	600.167	620.183	640.183	660.183	680.2	700.2	720.217	740.217	760.217	780.233	800.233	820.233	840.25	860.25	880.25	900.267	920.267	940.267	960.283	980.283	1000.28	1020.3	1040.3	1060.32	1080.32
691	-4.79332	-4.40699	-4.89427	-4.26766	-4.13375	-3.91762	-3.45223	-4.10186	-3.67859	-4.11641	-3.41662	-4.22401	-4.39725	-3.73992	-4.09514	-3.80191	-3.77581	-4.20356	-3.27419	-3.98712	-4.10284	-4.22417	-4.01146	-3.46845	-4.03584	-3.86636	-3.59229	-4.07609	-4.33455	-3.92572	-4.07204	-3.48536	-3.60889	-3.81813	-3.60047	-3.51374	-3.3275	-4.14979	-3.41843	-3.52741	-4.57097	-3.78766	-3.54608	-3.20513	-3.0663	-4.63059	-4.42995	-4.83107	-5.08197	-5.05257	-5.66303	-5.91005	-5.12696	-6.32868	-5.88842
690	-4.27484	-4.0326	-4.87382	-4.10442	-3.98814	-3.77133	-3.4918	-4.22304	-3.81694	-3.69306	-3.20488	-3.89073	-4.10232	-3.24482	-3.63898	-3.7138	-3.58998	-3.86066	-2.94296	-3.9984	-4.54027	-4.10966	-3.94661	-3.35073	-3.61455	-3.79087	-3.27317	-4.00697	-3.88073	-3.75448	-4.01468	-3.21822	-3.25349	-3.7305	-3.69268	-3.1605	-3.44281	-3.90678	-3.28822	-3.06949	-4.48792	-3.60653	-3.43449	-2.83739	-2.83573	-4.20741	-3.88264	-4.72554	-5.05504	-5.25473	-5.8094	-5.3381	-4.93796	-6.10368	-5.26971
689	-3.87305	-4.46973	-4.82238	-3.96907	-4.11605	-3.81602	-3.49225	-4.22458	-4.07696	-3.81617	-3.76608	-3.88881	-4.06285	-2.9356	-3.53307	-3.58125	-3.77315	-3.79559	-3.08984	-3.88216	-4.18323	-3.83701	-3.88514	-3.30541	-3.63685	-3.53403	-3.12441	-3.91704	-3.66224	-3.87557	-3.96369	-3.26308	-3.08219	-3.78334	-3.52733	-3.1215	-3.57427	-4.26557	-3.28913	-3.1134	-4.33165	-3.42442	-3.30107	-2.80935	-3.05114	-4.21859	-4.55651	-4.57018	-4.64322	-5.11391	-6.12547	-5.19701	-4.87871	-5.9261	-5.77294
688	-4.12329	-4.72245	-4.92989	-4.28198	-4.39019	-3.44603	-3.50463	-4.49538	-3.57172	-3.83598	-3.84162	-3.97283	-3.95401	-3.14438	-3.35253	-3.37349	-4.05346	-3.70855	-3.26815	-4.02922	-4.52608	-3.62113	-4.13164	-3.44321	-3.2952	-3.45493	-3.44739	-3.78303	-3.6206	-4.38079	-3.70444	-3.88589	-3.20391	-4.04615	-3.60771	-3.07691	-3.97193	-4.36476	-3.14904	-3.43344	-4.68552	-3.53907	-3.38271	-3.03555	-3.38742	-4.07199	-4.67558	-4.75267	-4.73026	-5.32901	-5.96152	-5.31398	-5.1987	-5.90449	-6.01507
687	-4.35185	-4.31344	-5.08945	-4.46389	-4.23869	-3.22957	-3.43969	-4.35188	-3.59588	-3.39797	-3.87331	-3.53768	-3.62562	-3.11258	-3.72508	-3.43077	-4.06051	-3.32608	-3.45003	-3.74082	-4.34756	-3.29662	-3.32767	-3.02737	-3.09226	-3.0568	-3.14166	-3.56626	-3.43269	-3.88938	-3.50009	-3.92803	-3.28839	-3.4716	-3.18165	-2.86156	-4.00577	-4.46239	-2.70862	-3.55096	-4.39756	-3.01926	-2.95522	-2.61208	-3.2509	-4.30501	-4.6341	-4.72642	-4.78491	-4.95756	-5.92577	-5.29346	-4.93022	-5.71793	-5.67461
686	-4.31668	-4.61493	-5.37673	-4.76287	-4.06185	-3.77322	-3.4099	-4.77873	-3.7136	-3.46723	-3.95075	-3.37872	-3.5245	-3.34437	-3.75448	-3.57786	-4.05945	-3.65935	-3.54103	-3.79164	-4.02272	-3.34166	-3.58802	-3.56454	-3.37653	-3.289	-3.28152	-3.72336	-3.42202	-3.76959	-3.26882	-4.20635	-3.12888	-3.6094	-3.06935	-3.11764	-4.17645	-4.6409	-3.01963	-3.54642	-4.27952	-3.13111	-2.96744	-2.85271	-3.41645	-4.30314	-4.55526	-4.78825	-5.16195	-5.26107	-6.22089	-5.24767	-4.85754	-5.32451	-5.54698
685	-4.20709	-4.45413	-5.09286	-4.62146	-3.75896	-3.692	-3.23424	-4.04821	-3.22528	-3.39551	-3.87587	-3.29026	-3.11384	-3.44596	-3.24784	-3.14782	-3.75879	-2.91079	-3.2197	-3.69455	-3.56351	-3.31707	-3.28236	-3.29726	-3.2746	-2.89199	-2.88336	-3.48213	-3.09194	-3.52849	-2.75784	-3.92789	-2.89288	-3.23333	-2.79041	-2.85802	-3.87732	-4.50873	-3.00201	-3.06829	-3.73386	-2.87899	-2.74274	-2.79682	-3.21213	-3.98624	-4.29071	-4.35357	-4.83984	-4.60264	-6.08098	-5.05333	-4.46306	-5.07642	-5.17967
684	-4.47338	-4.1775	-5.05564	-4.84466	-3.89013	-3.62404	-3.52743	-4.03384	-3.32484	-3.06237	-3.70466	-3.30158	-3.3054	-3.87516	-3.26083	-3.60734	-3.88841	-2.8956	-3.69885	-3.67967	-3.91925	-3.70223	-3.44512	-3.44783	-3.40633	-3.11185	-3.27964	-3.55522	-3.00066	-3.49757	-3.05242	-4.15601	-3.67275	-3.61165	-3.01459	-3.34673	-4.20817	-4.46005	-2.93612	-3.13769	-3.98155	-3.31975	-2.99086	-3.22944	-3.38315	-4.14128	-4.54157	-4.74086	-4.95391	-4.7252	-6.16918	-4.72216	-4.672	-5.1101	-5.43422
683	-4.6573	-4.60408	-5.19083	-5.11458	-4.68327	-3.93402	-4.03655	-4.32075	-3.76373	-3.13483	-4.43687	-3.39939	-3.58956	-4.6118	-3.70494	-3.72999	-3.80435	-3.28967	-3.70658	-4.0116	-4.08083	-3.72527	-3.70562	-4.04246	-3.66635	-3.4862	-3.52877	-3.60317	-3.28978	-3.72054	-3.12534	-4.37656	-3.86075	-3.89336	-3.54761	-3.63757	-4.27772	-4.53772	-3.20775	-3.55737	-3.75823	-3.69743	-2.84765	-3.4784	-3.51882	-4.56266	-4.69051	-5.085	-5.59799	-5.4641	-6.58422	-4.96637	-4.99879	-5.50195	-5.91806
682	-4.51162	-4.27084	-4.88939	-4.63748	-5.04171	-3.79402	-3.99786	-3.93297	-3.74066	-3.07101	-4.23698	-3.17256	-3.31673	-4.84302	-4.00113	-3.85426	-3.70738	-3.30942	-3.94601	-3.8037	-3.44443	-3.56473	-3.76696	-4.30898	-3.79276	-3.22201	-3.82491	-3.43072	-3.51074	-3.89786	-3.15473	-4.38846	-3.60982	-3.97042	-3.35984	-3.78827	-4.29311	-4.2049	-3.16618	-3.43493	-3.39666	-3.52237	-2.79228	-3.82973	-3.60512	-4.34323	-4.72698	-4.85679	-5.28076	-5.11783	-6.13527	-5.28847	-4.97913	-5.43358	-5.90475
