TITLE	100% R-JS 72 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/17
TIME	11:45:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  700.0000
LASTX	  300.0000
NPOINTS	     401
FIRSTY	     1.30980
MAXY	    29.84932
MINY	   -27.41811
XYDATA
Channel 1
	0	1.01667
468	28.3093	28.0075
467	28.2233	27.8158
466	28.0697	27.6499
465	27.8522	27.5113
464	27.5197	27.2529
463	26.9929	26.8592
462	26.4116	26.3668
461	25.7553	25.8451
460	25.0999	25.189
459	24.4228	24.4314
458	23.7635	23.6353
457	23.0512	22.6547
456	22.2556	21.59
455	21.4522	20.6519
454	20.7103	19.8153
453	20.0186	19.1147
452	19.3693	18.5262
451	18.7185	17.9747
450	18.1341	17.5473
449	17.4205	17.0686
448	16.6831	16.6199
447	15.8723	16.0928
446	15.0829	15.5144
445	14.3419	14.8999
444	13.6168	14.2767
443	12.9683	13.6179
442	12.3838	12.9793
441	11.8652	12.28
440	11.4519	11.6336
439	10.987	10.961
438	10.4478	10.2827
437	9.89292	9.61653
436	9.28833	9.03622
435	8.73981	8.56761
434	8.26592	8.15285
433	7.78058	7.75372
432	7.37712	7.41276
431	7.00483	7.10719
430	6.69795	6.77439
429	6.43906	6.48257
428	6.19484	6.16359
427	5.97394	5.82404
426	5.7052	5.44107
425	5.41518	5.07969
424	5.17143	4.76218
423	4.97325	4.54868
422	4.88803	4.41211
421	4.80362	4.30268
420	4.66699	4.15771
419	4.46509	4.03401
418	4.26812	3.92633
417	4.12456	3.81507
416	3.96158	3.69427
415	3.81427	3.59612
414	3.62762	3.42787
413	3.40939	3.25905
412	3.18779	3.15545
411	2.98703	3.03295
410	2.83583	2.90418
409	2.68054	2.75933
408	2.48279	2.56295
407	2.28514	2.35209
406	2.04841	2.12457
405	1.76998	1.93443
404	1.52401	1.77073
403	1.32624	1.66001
402	1.1605	1.58014
401	1.04793	1.55262
400	0.960974	1.50153
399	0.945245	1.44462
398	0.975996	1.43638
397	0.995798	1.43008
396	1.06572	1.42184
395	1.11158	1.42669
394	1.1718	1.4016
393	1.22168	1.3486
392	1.29238	1.33199
391	1.32861	1.29863
390	1.3396	1.25235
389	1.32844	1.19055
388	1.28617	1.12334
387	1.23066	1.04988
386	1.16319	1.00494
385	1.02823	0.968915
384	0.868704	1.00952
383	0.689017	1.04037
382	0.571415	1.05977
381	0.496715	1.06317
380	0.481329	1.078
379	0.547637	1.06242
378	0.629832	1.05854
377	0.669495	1.01589
376	0.760477	1.00164
375	0.895753	0.995146
374	1.06292	1.03945
373	1.17137	1.08933
372	1.2504	1.10593
371	1.25419	1.12798
370	1.25636	1.15577
369	1.17991	1.11559
368	1.11243	1.06718
367	1.0149	0.914302
366	0.903517	0.777452
365	0.756461	0.616888
364	0.622485	0.428922
363	0.488116	0.294455
362	0.382989	0.18389
361	0.242619	0.0860078
360	0.129054	0.0238828
359	-0.057804	-0.0963356
358	-0.239726	-0.16407
357	-0.403519	-0.202002
356	-0.538289	-0.201928
355	-0.574736	-0.13277
354	-0.574143	-0.088935
353	-0.563385	-0.0784739
352	-0.478303	-0.0496207
351	-0.436899	-0.0727133
350	-0.33219	-0.109046
349	-0.224855	-0.109185
348	-0.133178	-0.0929085
347	-0.00873438	-0.0391783
346	0.0631258	-0.0339854
345	0.067043	-0.0139942
344	0.113794	0.0480228
343	0.13139	0.0784455
342	0.151279	0.0606054
341	0.154988	0.0680567
340	0.226432	0.0408333
339	0.310006	0.0739578
338	0.405545	0.174473
337	0.566684	0.395316
336	0.757807	0.629767
335	0.827567	0.793453
334	0.911595	0.906646
333	0.966875	1.03814
332	1.02038	1.11797
331	1.04113	1.20322
