TITLE	10% R-JS for 6 hrs
DATA TYPE	CD SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	2025/11/19
TIME	18:42:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., J-1500, Rev. 1.00
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	CD [mdeg]
Y2UNITS	LD [dOD]
Y3UNITS	HT [V]
Y4UNITS	ABSORBANCE
FIRSTX	  900.0000
LASTX	  300.0000
NPOINTS	     601
FIRSTY	     8.51568
MAXY	    14.14348
MINY	   -12.92692
XYDATA
Channel 1
890	-1.79414	-3.55389	-1.4814	-6.06948	-2.68815	0.4657	-4.94839	-0.557749	-7.3617	-3.05359	-4.89381	-3.31801	-4.9406	-4.57534	-2.79256	-2.63387	-5.16203	-4.95721	-5.19683	-3.74447	-1.97473	-2.06144	-2.69817	-3.37204	-7.91256	-4.56494	-3.54941	-0.781245	-4.32573	-1.81434	-2.94032	-2.76029	-3.25422	-3.78685	-0.809238	-4.03702	-4.90423
889	-3.15934	-2.506	-0.472963	-6.96659	-1.5532	0.448698	-3.04454	-2.12229	-5.12147	-1.33937	-3.969	-3.32747	-1.86818	-2.66987	-1.08227	-2.69107	-1.69449	-4.18666	-4.52667	-2.46346	-1.13455	0.0881324	-2.63235	-2.03183	-5.91931	-3.31092	-2.64912	0.492889	-2.94516	-0.834691	-2.34607	-0.764979	-3.21729	-3.11394	-0.479085	-4.0578	-2.65834
888	-2.25332	-0.19356	-0.985607	-5.36365	-0.729958	-0.853271	-2.86736	-2.27039	-2.85041	0.37378	-1.00285	-0.872192	0.701317	-0.838272	3.32766	-2.31342	1.44421	-3.62617	-2.99905	-1.97233	0.34016	-0.105037	-0.730356	0.105707	-4.59761	-0.119248	-1.6556	2.11997	-2.51981	0.559897	-0.412107	0.481647	-1.75303	-0.279692	0.385944	-2.13304	0.333531
887	-3.68684	-0.293716	-1.79815	-5.64705	0.584953	0.1468	-4.04547	-3.39809	-1.45295	0.0343709	-1.12928	0.0969506	-1.10698	-0.570234	2.83382	-2.037	1.82764	-2.89784	-4.06546	-3.80355	-1.00091	-0.54518	-0.851448	-0.727853	-3.86079	-1.33376	-2.44199	1.95054	-2.63838	0.0678735	-0.116116	0.360453	-2.45322	-0.0856963	0.0239781	-4.09039	-0.118996
886	-2.00748	0.438369	-1.65759	-5.74779	-0.366544	-0.367198	-4.7526	-3.52556	-1.77933	1.50652	-0.39881	3.06147	-0.509169	-0.245035	2.97008	-1.15212	3.81245	-2.42226	-4.27812	-2.33657	-1.11928	0.157686	-0.669487	-0.189711	-3.64146	-1.15111	-1.79455	1.7427	-2.02523	-0.814643	-0.0627835	1.40507	-1.73673	-1.61797	-1.61685	-5.99023	-0.533336
885	-0.854357	1.58226	-1.66527	-7.19868	1.21653	0.456816	-5.18319	-3.82413	-1.67635	1.48291	0.302651	2.31317	0.00380953	-0.669634	2.4107	-3.11626	3.62463	-2.849	-4.34617	-2.23721	-1.50092	-0.508042	-1.90516	-0.108464	-5.44989	-1.4578	-2.20072	1.08	-1.36544	-2.72237	-0.452467	1.73158	-2.91554	-2.72606	-1.89002	-6.46058	-1.38306
884	-0.565591	2.55498	-0.120433	-6.26137	2.9179	1.46232	-2.72251	-2.89928	-0.359908	2.17035	2.05236	3.20994	1.29289	2.43258	2.43139	-1.46734	4.7091	-1.8697	-3.10457	-3.29971	-0.867758	-0.906876	-2.91165	0.743058	-3.29702	-1.77631	-0.547789	3.40119	-0.0874826	-1.34087	1.16113	2.30817	-1.31974	-2.21391	-0.164831	-5.81573	-0.758198
883	0.241617	-1.01322	-1.06906	-7.7005	0.655383	-0.0453171	-1.89881	-4.95658	0.297171	-0.658919	-0.580918	2.59992	1.68175	-1.36392	-0.802271	-5.98405	3.36969	-2.92034	-4.71973	-3.346	-4.39645	-4.05041	-5.80567	-0.282787	-3.85063	-3.18991	-0.418931	0.936096	-0.603551	-4.05748	-2.21109	1.54991	-3.39419	-3.74484	-3.38481	-6.55275	-2.12144
882	0.178143	-2.2126	-1.19941	-5.42497	-0.618863	-1.50983	-4.85613	-6.07894	-1.40226	-1.01741	-2.32192	1.77259	0.621555	-3.73268	-1.71417	-6.5188	2.39161	-4.40453	-4.62746	-5.09207	-6.99506	-6.77925	-7.07898	0.269503	-4.23686	-4.65492	-1.02454	0.0945714	-0.380741	-5.56632	-1.87609	0.183105	-5.29594	-4.35549	-6.4955	-7.38019	-0.934592
881	1.48481	-1.10535	0.506039	-5.24758	0.790525	-2.1643	-4.03283	-3.69138	-1.45288	-2.09721	-0.865833	2.21323	0.940042	-4.85202	-2.86063	-5.2595	1.73118	-2.64313	-4.14983	-2.39759	-7.46774	-4.33324	-7.42423	1.12266	-4.27105	-5.55229	-2.774	1.29618	-0.00281596	-4.94178	-1.68224	0.292702	-5.57894	-2.44757	-5.64091	-8.66169	-2.05506
880	-0.636885	-3.75552	1.07917	-5.91635	-0.828377	-2.6959	-5.06748	-4.27595	-2.8028	-3.37447	-4.52814	-0.871151	-0.561665	-5.89461	-5.85456	-7.55068	-1.03254	-3.60881	-3.58533	-4.87128	-8.61336	-4.98383	-7.79843	-1.40046	-5.91084	-8.63016	-4.46326	0.574758	-1.47979	-6.96878	-4.35934	0.959977	-6.48814	-5.58034	-7.90716	-11.8842	-4.89064
879	3.74157	-1.59203	2.334	-3.92945	-1.05549	-1.00023	-2.25958	-2.32733	-2.76501	-0.67668	-2.36295	0.281428	1.21627	-3.27079	-4.92554	-5.27289	-1.11488	-1.95267	-1.4421	-1.48076	-5.45915	0.0252176	-6.27622	0.128051	-4.24089	-6.09701	-1.68714	0.926407	0.0645225	-4.2951	-1.57908	3.81008	-4.11994	-4.21542	-5.27498	-9.59306	-2.99523
878	2.00787	-2.84487	1.95695	-2.9448	-1.28775	-0.294378	-1.34385	-2.49663	-2.46913	-0.177341	-2.73682	-1.0706	0.577995	-4.07142	-5.04288	-5.93769	-3.92112	-3.32934	-2.34355	-2.22542	-6.80771	-1.27332	-7.19194	-1.98405	-4.30625	-6.04873	-1.6573	-0.367702	-0.366792	-3.8887	-0.731357	2.33809	-4.79893	-3.51686	-4.25083	-10.2252	-3.09498
877	-0.0038343	-4.20855	1.46956	-4.08428	-3.03878	-3.31629	-3.23017	-3.28238	-2.99269	-1.38446	-3.97695	-1.60498	-0.651052	-4.16415	-8.1482	-6.89412	-4.56722	-2.71342	-2.02049	-5.30114	-7.02971	-2.56543	-7.5803	-0.758551	-3.59936	-6.75472	-0.975981	-1.39363	-1.22711	-4.97151	-0.762351	-0.301212	-4.16717	-4.70754	-5.11741	-10.1269	-2.58652
876	-0.354838	-4.03893	0.744154	-3.06098	-4.56716	-6.36721	-5.60769	-4.73281	-3.78778	-4.1384	-5.74919	-5.03927	-3.18595	-6.17503	-8.80178	-7.82716	-5.9214	-4.17637	-2.91035	-5.10276	-7.64897	-3.2135	-9.07125	-2.32057	-6.13952	-6.39763	-2.43027	-3.20935	-4.00572	-5.69044	-4.57254	-2.90335	-6.5776	-4.45938	-6.35643	-13.1737	-3.64318
875	-0.376643	-3.42472	-3.66051	-3.78882	-5.98117	-7.08974	-7.57335	-5.32764	-6.05887	-2.53304	-5.44751	-7.57588	-4.30884	-7.88746	-8.81993	-8.797	-8.32974	-4.97347	-3.3665	-7.18035	-8.55096	-4.48238	-9.38177	-2.94485	-6.53748	-7.89873	-4.87671	-4.89095	-6.67241	-4.30358	-4.278	-3.51729	-7.61623	-4.59974	-7.62314	-15.4351	-4.80737
874	-1.10287	-1.79275	-2.64867	-2.3566	-5.31712	-7.0205	-5.15281	-4.59736	-4.7301	-5.02415	-5.74526	-7.2347	-5.08503	-6.91257	-7.74331	-7.39558	-8.72672	-4.66499	-2.47727	-7.68548	-7.84665	-3.64806	-8.25778	-2.30247	-6.16733	-7.47057	-5.06472	-3.51241	-5.664	-3.24538	-4.12179	-3.60212	-7.9045	-3.75729	-6.30686	-14.913	-4.17336
873	-0.942773	-1.71617	-3.43863	-3.02366	-8.06566	-7.22788	-8.08296	-5.46598	-4.27367	-6.44914	-5.8142	-9.04912	-6.44375	-8.00371	-9.92083	-7.8001	-11.4384	-4.70137	-5.60012	-6.7743	-7.01291	-5.14218	-9.50706	-3.83844	-6.10701	-7.99014	-6.13197	-6.09304	-5.93226	-4.5498	-4.91643	-5.552	-8.99636	-7.21607	-7.44389	-14.3774	-5.41589
872	-2.78261	-3.47924	-7.23297	-5.64225	-10.405	-9.48664	-8.80155	-7.46703	-8.07967	-7.38371	-7.88493	-11.1384	-7.67788	-11.1494	-12.5081	-8.81778	-12.8512	-7.71133	-7.15921	-9.12134	-8.23139	-8.38654	-10.5949	-8.19648	-8.33894	-9.23203	-7.21167	-9.59368	-7.21136	-7.72167	-4.66988	-8.12419	-9.99845	-9.82416	-9.12216	-15.3852	-7.04174
871	-1.11998	-4.3023	-8.7694	-5.56557	-10.2409	-9.54062	-7.52402	-7.52332	-6.28304	-6.83172	-8.42508	-12.3803	-7.21224	-11.5775	-11.0976	-9.47228	-11.5452	-8.40565	-7.84451	-10.4415	-7.65815	-9.37946	-11.8488	-7.14654	-8.68191	-10.076	-8.17132	-8.89554	-7.20081	-6.78246	-4.1017	-10.3149	-11.1376	-8.82367	-11.0979	-15.1217	-7.21959
